Name,Trial,Variables,Cut dim,Interactions,Time (s),Proposed solution,Real sample min,Real sample 25,Real sample mean,Real sample 75,Real sample max
Max cut,0,8,2,14,0.35752,0.0,-10.0,-8.0,-7.0,-6.0,0.0
Max cut,1,8,2,14,0.34476,0.0,-10.0,-8.0,-7.0,-6.0,0.0
Max cut,2,8,2,14,0.35656,0.0,-10.0,-8.0,-7.0,-6.0,0.0
Max cut,3,8,2,14,0.3569,-2.0,-10.0,-8.0,-7.0,-6.0,0.0
Max cut,4,8,2,14,0.34666,0.0,-10.0,-8.0,-7.0,-6.0,0.0
V8C2,0,8,2,8,0.26223,-0.23241,-0.23241,1.40781,2.55256,3.49457,7.27737
V8C2,0,8,2,32,0.30884,1.37517,-4.37819,-0.47767,0.36972,1.45479,3.52935
V8C2,1,8,2,8,0.22809,0.0,0.0,2.07535,3.57833,4.92484,9.05091
V8C2,1,8,2,32,0.28337,-7.6193,-8.07198,-2.07079,-0.61416,1.07844,3.95405
V8C2,2,8,2,8,0.22758,0.0,0.0,1.49274,2.34494,3.08707,5.85214
V8C2,2,8,2,32,0.23626,0.0,-0.88871,1.42433,2.5295,3.53777,6.79527
V8C2,3,8,2,8,0.28284,-0.56115,-0.56115,1.77613,2.94658,3.90228,7.53827
V8C2,3,8,2,32,0.25092,0.92814,-1.00323,1.85373,3.61558,5.15348,11.39707
V8C2,4,8,2,8,0.25761,-0.05687,-0.05687,1.54398,2.86676,4.10943,7.52055
V8C2,4,8,2,32,0.26379,0.60638,-0.45791,1.71138,3.23929,4.44779,9.55979
V8C4,0,8,4,8,0.21963,-0.03296,-0.03296,1.67236,2.71509,3.60306,6.78669
V8C4,0,8,4,32,0.24665,0.00232,-0.79628,1.26023,2.18297,3.03026,5.81113
V8C4,1,8,4,8,0.18572,0.60611,0.0,1.46191,2.60272,3.69214,6.48985
V8C4,1,8,4,32,0.29212,0.0,0.0,2.33124,3.81082,5.09051,9.87524
V8C4,2,8,4,8,0.16891,0.0,0.0,1.96531,3.33719,4.65872,8.55269
V8C4,2,8,4,32,0.40652,-0.2552,-0.56794,0.99111,2.70292,4.00264,8.51155
V8C4,3,8,4,8,0.18732,0.0,0.0,1.91396,3.10309,4.15777,7.91281
V8C4,3,8,4,32,0.36621,0.88747,-0.30466,1.64323,3.36154,4.83303,11.09136
V8C4,4,8,4,8,0.18615,0.0,0.0,1.91033,2.94319,3.81107,7.34045
V8C4,4,8,4,32,0.25953,1.38851,-1.7648,0.7759,1.9694,3.09702,7.37459
V8C8,0,8,8,8,0.13258,-0.09121,-0.11755,1.26433,2.25467,3.12342,6.07171
V8C8,0,8,8,32,0.25518,-0.06892,-0.06892,1.85243,3.22006,4.41317,9.03331
V8C8,1,8,8,8,0.13066,-0.08188,-0.08188,1.46587,2.49729,3.46142,6.3261
V8C8,1,8,8,32,0.21113,-8.12907,-8.12907,-1.58957,-0.43294,1.04944,4.31643
V8C8,2,8,8,8,0.13078,-0.06642,-0.06642,0.93895,2.66776,4.17084,8.02581
V8C8,2,8,8,32,0.22324,-0.44744,-0.44744,1.68854,3.47183,4.91549,10.88634
V8C8,3,8,8,8,0.12993,-0.58001,-0.58001,1.42871,2.45782,3.30614,6.79828
V8C8,3,8,8,32,0.19492,-1.79371,-1.79371,0.61116,1.80907,2.93122,6.67595
V8C8,4,8,8,8,0.12018,0.0,0.0,1.88997,3.3664,4.72912,9.03273
V8C8,4,8,8,32,0.22861,-3.08767,-3.08767,0.55838,1.73299,2.9127,6.55152
V16C2,0,16,2,16,1.58531,0.86923,-0.09326,3.41931,5.38009,7.26542,14.09312
V16C2,0,16,2,64,1.03922,2.00819,-4.28734,1.9896,3.74601,5.41317,12.58042
V16C2,0,16,2,256,1.77815,4.32213,-21.58046,-2.69472,0.34012,3.75925,13.81989
V16C2,1,16,2,16,1.41319,0.19905,-0.03611,3.27124,5.73666,8.18881,15.3548
V16C2,1,16,2,64,1.41442,-0.55034,-2.60793,1.43027,2.83324,4.07586,9.91339
V16C2,1,16,2,256,1.89026,0.88975,-12.92445,1.05014,3.91917,6.74918,21.33572
V16C2,2,16,2,16,1.49136,1.28312,-0.00512,3.48332,5.67966,7.82024,15.72523
V16C2,2,16,2,64,1.01192,1.59037,-2.2169,2.75337,4.16103,5.49869,11.54349
V16C2,2,16,2,256,1.48604,6.27925,-12.84123,-0.16832,2.7372,5.59605,18.85608
V16C2,3,16,2,16,1.32412,0.4252,-0.73074,3.08192,5.27614,7.46271,14.44708
V16C2,3,16,2,64,1.37652,0.41905,-1.95008,1.86468,3.61368,5.0979,12.81164
V16C2,3,16,2,256,1.04854,1.2655,-5.18754,3.1375,6.13318,8.80905,25.08151
V16C2,4,16,2,16,1.57533,0.14558,-0.02612,3.27628,5.71943,8.13177,15.90252
V16C2,4,16,2,64,1.50439,0.85217,-1.97081,2.72125,4.18668,5.60656,11.09854
V16C2,4,16,2,256,1.65763,2.31744,-11.49173,-0.86545,1.84214,4.55921,16.53803
V16C4,0,16,4,16,0.59013,0.0,0.0,3.85115,5.65388,7.34502,14.17504
V16C4,0,16,4,64,0.58542,0.9356,-5.45053,0.31991,2.0956,3.81831,10.82253
V16C4,0,16,4,256,0.72568,0.87069,-5.88187,4.96428,9.29587,13.01181,34.79082
V16C4,1,16,4,16,0.63973,0.0,0.0,4.75068,7.20724,9.58124,18.93627
V16C4,1,16,4,64,0.72506,3.17325,-4.81574,1.22321,3.29166,5.14204,13.72789
V16C4,1,16,4,256,0.78789,-0.17442,-4.61927,3.32364,5.5721,7.66518,18.80582
V16C4,2,16,4,16,0.73697,0.98542,0.0,4.66456,6.81663,8.90091,16.81196
V16C4,2,16,4,64,0.67693,1.79698,-1.25645,3.10664,4.9428,6.52306,13.84316
V16C4,2,16,4,256,0.77276,9.04124,-13.42451,1.20598,4.43654,7.55586,20.5937
V16C4,3,16,4,16,0.62961,1.27888,0.0,3.99233,5.69153,7.22769,14.24172
V16C4,3,16,4,64,0.50182,1.37912,-3.76555,2.02283,3.72927,5.42329,12.52912
V16C4,3,16,4,256,0.79766,2.76319,-2.74771,5.03801,7.47632,9.65865,21.7752
