Name,Variables,Cut dim,QSplit CPU+Network time (s),QSplit QPU time (s),QSplit sol,Direct time (s),Direct sol,Random time (s),Random min sol,Random avg sol
Max cut,8,2,18.14669,0.09928,0.8,5.01982,0.0,0.00407,0.0,0.30183
V8C2,8,2,16.50717,0.08246,0.25008,4.78516,-0.0,0.0029,0.00949,0.42658
V8C4,8,4,12.22386,0.05051,0.06578,4.82408,0.0,0.0026,0.01777,0.36581
V16C2,16,2,26.81074,0.14921,0.16511,5.1641,-0.0,0.0764,-0.0,0.42099
V16C4,16,4,19.45773,0.09959,0.52953,5.26266,0.0,0.07258,0.00562,0.58918
V16C8,16,8,12.0069,0.05118,0.28615,5.29187,0.0,0.07626,0.0,0.37824
V32C2,32,2,56.39568,0.23176,0.37835,5.99092,0.0,1.81239,0.05748,0.5393
V32C4,32,4,32.70336,0.16658,0.34275,7.59149,0.0,1.80132,0.0384,0.4415
V32C8,32,8,20.71724,0.10152,0.43549,8.48885,3e-05,1.63827,0.05104,0.41011
V32C16,32,16,14.88272,0.05141,0.22201,8.38925,-0.0,1.81402,0.0845,0.52755
V64C2,64,2,156.90689,0.33161,0.25587,21.41359,7e-05,5.6414,0.1408,0.39104
V64C4,64,4,63.59581,0.25171,0.45586,40.36734,0.0,6.23482,0.22976,0.53048
V64C8,64,8,35.40551,0.17,0.46896,19.51525,0.0,6.51595,0.2125,0.48509
V64C16,64,16,20.78848,0.10359,0.31384,38.67905,0.00134,5.80022,0.12653,0.43206
V64C32,64,32,22.83705,0.05138,0.26163,15.59423,-0.0,6.45045,0.13933,0.43724
V128C2,128,2,417.82568,0.44801,0.49042,303.44521,0.00197,24.712,0.27973,0.4958
V128C4,128,4,173.27977,0.352,0.41493,92.13576,0.00044,22.93118,0.25828,0.47959
V128C8,128,8,105.75297,0.25314,0.41692,212.5684,0.00029,23.81154,0.3189,0.52862
V128C16,128,16,49.6893,0.16972,0.3914,119.88931,0.00076,24.17939,0.27694,0.52857
V128C32,128,32,42.02576,0.10379,0.35847,205.47123,0.00052,24.50044,0.24358,0.46493
